Product Name,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5
Аммиак водный технический 25%,NH3 водный,аммиачная вода 25%,водный аммиак,раствор аммиака
Галит тип С в/с,NaCl техническая,каменная соль техническая,поваренная соль техническая,соль пищевая
Гипохлорит кальция (хлорка) 45%,Ca(ClO)2,хлорная известь,дезаммиачная хлорка,хлорка техническая
Глицерин кормовой-сырец,глицерин сырца,неочищенный глицерин,сырой глицерин,глицерин технический
Глицерин пищевой 99%,чистый глицерин,пищевой чистый глицерин,E422,глицерин 99%
Дезинбак М ПАВ,моющее средство дезинбак,Désinbac M PAV,Détergent désinfectant,Moyen de nettoyage et désinfection
Дезинбак марка А10,Desinbac mark A10,détergent antiseptique,Antiseptic Cleaner,cleaning product desinbak
Дезинбак марка А15,Desinbac mark A15,détergent antibactériel,bactericide cleaner,cleaning product desinbak
Дезоксид Окси рецептура Б базовый,Dezoxid Oxi base recipe B,Basis Dezoxid,Oxydez basic formulation,Base Oxide Disinfectant
Дезоксид Окси рецептура Б усиленный,Dezoxid Oxi enhanced recipe B,Ultradiezoxide,Ultra-Oxydez formulation,Strengthened Oxygenated Disinfectant
Известь негашеная гранулы 1 сорт,CaO техническая,негашёная известь,известь комовая,известь строительная
Известь гашеная-пушонка,Ca(OH)2,известковая мука,известь воздушная,hydrated lime powder
Кальций хлористый пищевой безводный,CaCl2 пищевой,безводный кальций хлориде,пищевой хлорид кальция
Кальций хлористый технический гранулы,CaCl2 технический,хлорид кальция технический,granulated calcium chloride
Карбамид марка А, марка Б,CO(NH2)2,мочевина техническая,мочевина гранулированная
Карбонат калия (поташ) кормовой,K2CO3 кормовой,поташ технический,кормовая добавка
Кислота азотная 57% неконцентр.,HNO3 техническая,азотка техническая,некрепкая азотная кислота
Кислота сульфаминовая марка Б,sulfamic acid brand B,mark sulfamic acid B,acid sulfanilic brand B
Купорос медный марка А1,CuSO4 медный купорос,медный купорос технический,купорос сульфат меди
Купорос цинковый 7-водный,ZnSO4 цинковый купорос,цинковый купорос технический,купорос сульфат цинка
Магникорм (оксид магния),MgO кормовой,магний оксид,кормовая добавка
Мел молотый кормовой ММЖП,CaCO3 кормовой,карбонат кальция кормовой,кормовая добавка
Натр едкий (сода каустическая),NaOH,каустик,едкий натр,сода каустическая
Натрий азотнокислый Чистый,NaNO3 чистый,нитрат натрия,чистый азотнокислый натрий
Натрия гидроокись ЧДА,NaOH ЧДА,едкий натр чистый,гидроокись натрия ЧДА
Перекись водорода техническая марка А,H2O2 техническая,техническая перекись водорода,пероксид водорода
Перекись водорода Пуроксид асептик,H2O2 медицинская,перекись водорода медицинская,стерильный пероксид водорода
Пропиленгликоль пищевой 99,5%,PG пищевой,propylene glycol edible 99.5%,food-grade propylene glycol
Сода кальцинированная марка Б,Na2CO3 техническая,кальцинированная сода технической марки
Сода пищевая (гидрокарбонат натрия),NaHCO3,сода пищевая,сода питьевая,пищевая добавка
Соль пищевая в/с помол № 2,NaCl пищевая,поваренная соль,пищевая соль помола №2
Соль таблетированная,таблетированная соль,соль для фильтрации,солевые таблетки
Трикальцийфосфат кормовой,Ca3(PO4)2 кормовой,фосфат кальция кормовой,кормовая добавка
Формалин технический,HCHO технический,раствор формальдегида,формалин промышленный
